No Agent;Native Agent;Java Low-level Agent;Java High-level Agent;
1;109300;2743;2545;
1;108938;2623;2588;
1;108954;2634;2576;
1;109900;2646;2606;
1;108450;2622;2568;
1;108611;2653;2926;
1;108959;2683;2570;
1;108239;2635;2639;
1;107456;2649;2694;
1;109414;2606;2582;
1;108929;2626;2512;
1;108912;2604;2586;
1;107222;2614;2517;
1;107949;2621;2572;
1;107124;2606;2533;
1;107417;2642;2888;
1;109038;2579;2663;
1;107989;2589;2625;
1;107697;2620;2593;
1;108139;2592;2523;
1;108366;2614;2587;
3;107549;2653;2586;
1;107509;2735;2618;
1;108560;2620;2536;
1;108475;2589;2489;
1;106555;2640;2532;
1;107875;2600;2540;
1;108777;2626;2568;
1;109010;2640;2554;
1;108145;2635;2563;
1;106287;2630;2626;
1;108195;2672;2583;
1;109395;2643;2479;
1;112713;2674;2508;
1;108159;2680;2539;
1;107866;2642;2550;
