No Agent;Native Agent;Java Low-level Agent;Java High-level Agent;
0;203;5;6;
0;146;5;5;
0;147;5;5;
0;205;5;5;
0;147;5;5;
0;126;5;6;
0;205;5;5;
0;146;5;5;
0;125;5;5;
0;144;5;6;
0;125;5;5;
0;144;6;5;
0;125;6;5;
0;156;6;5;
0;143;5;5;
0;124;5;5;
0;144;5;5;
0;143;5;5;
0;124;6;6;
0;170;5;6;
0;127;5;5;
0;144;6;6;
0;124;6;5;
0;141;5;5;
0;143;5;5;
0;144;6;5;
0;144;6;5;
0;142;5;6;
0;142;5;6;
0;189;5;5;
0;203;5;5;
0;200;6;6;
0;143;5;5;
0;147;5;5;
0;145;6;5;
0;141;6;6;
0;206;5;5;
0;127;6;6;
0;125;5;6;
0;144;5;6;
0;255;6;6;
0;143;5;6;
0;147;5;6;
0;145;5;5;
0;253;5;5;
0;145;5;5;
0;143;5;5;
0;202;5;5;
0;146;5;5;
0;208;5;5;
0;143;5;5;
0;203;5;5;
0;145;5;5;
0;203;5;5;
0;142;6;6;
0;143;6;5;
0;144;5;6;
0;124;5;5;
0;144;5;5;
0;177;5;5;
0;146;5;5;
0;125;5;5;
0;145;5;5;
0;144;5;5;
0;129;5;6;
0;144;5;5;
0;143;5;5;
0;204;5;5;
0;146;5;6;
0;146;5;5;
0;125;5;6;
0;147;5;5;
0;253;5;5;
0;208;5;5;
0;144;5;5;
0;145;5;6;
0;205;5;6;
0;142;5;6;
0;142;5;6;
0;143;6;5;
0;144;5;6;
0;147;5;5;
0;200;5;5;
0;162;5;5;
0;125;5;5;
0;143;5;6;
0;144;5;5;
0;175;5;6;
0;143;5;6;
0;148;5;6;
0;144;5;6;
0;144;5;5;
0;202;5;5;
0;142;5;6;
0;143;5;5;
0;126;5;5;
0;175;5;5;
0;205;5;5;
0;191;6;6;
0;143;5;5;
