No Agent;Native Agent;Java Low-level Agent;Java High-level Agent;
0;125;3;3;
0;88;3;4;
0;127;3;4;
0;87;3;3;
0;82;3;3;
0;86;3;4;
0;88;3;3;
0;90;3;3;
0;88;3;3;
0;88;4;4;
0;89;4;3;
0;80;3;4;
0;88;3;3;
0;88;3;3;
0;77;3;3;
0;90;3;3;
0;89;3;3;
0;89;3;3;
0;79;3;3;
0;89;4;4;
0;125;3;4;
0;89;4;4;
0;91;3;3;
0;90;3;4;
0;88;3;3;
0;88;3;3;
0;77;3;4;
0;87;4;3;
0;125;4;4;
0;90;3;3;
0;89;3;3;
0;127;4;4;
0;78;3;3;
0;87;3;4;
0;76;3;4;
0;87;3;3;
0;77;3;3;
0;88;3;3;
0;89;3;3;
0;77;3;4;
0;90;3;3;
0;80;3;3;
0;124;3;3;
0;77;3;3;
0;126;3;4;
0;80;3;4;
0;88;3;3;
0;90;4;3;
0;124;3;3;
0;89;3;3;
0;88;3;3;
0;89;3;4;
0;99;4;4;
0;88;3;3;
0;126;3;3;
0;89;3;4;
0;79;4;3;
0;90;3;3;
0;89;4;3;
0;91;3;3;
0;93;3;4;
0;88;3;3;
0;89;3;3;
0;91;3;3;
0;87;3;3;
0;87;3;4;
0;87;3;3;
0;88;3;3;
0;124;3;3;
0;88;3;3;
0;88;3;5;
0;126;3;4;
0;87;3;4;
0;126;3;4;
0;116;4;3;
0;88;3;3;
0;118;4;3;
0;87;3;3;
0;89;4;3;
0;90;3;3;
0;88;3;4;
0;90;3;3;
0;77;3;3;
0;124;3;3;
0;157;3;3;
0;99;3;3;
0;126;3;3;
0;126;3;3;
0;109;3;4;
0;89;3;4;
0;90;3;3;
0;77;3;3;
0;88;4;3;
0;89;3;4;
0;89;3;3;
0;89;3;4;
0;124;3;3;
0;90;3;3;
0;87;3;3;
0;78;3;3;
